CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_disperse.py
MEM 34.371094 1751841442.5756
MEM 34.371094 1751841442.6760
MEM 34.371094 1751841442.7763
MEM 34.371094 1751841442.8767
MEM 34.371094 1751841442.9770
MEM 34.371094 1751841443.0773
MEM 34.371094 1751841443.1776
MEM 34.371094 1751841443.2780
MEM 34.371094 1751841443.3783
MEM 34.371094 1751841443.4787
MEM 34.371094 1751841443.5790
MEM 34.371094 1751841443.6794
MEM 34.371094 1751841443.7798
MEM 34.371094 1751841443.8802
MEM 34.371094 1751841443.9806
MEM 34.371094 1751841444.0809
MEM 34.371094 1751841444.1812
MEM 34.371094 1751841444.2816
MEM 34.371094 1751841444.3819
MEM 34.371094 1751841444.4822
MEM 34.371094 1751841444.5826
MEM 34.371094 1751841444.6829
MEM 34.371094 1751841444.7833
MEM 34.371094 1751841444.8837
MEM 34.371094 1751841444.9840
MEM 34.371094 1751841445.0843
MEM 34.371094 1751841445.1847
MEM 34.371094 1751841445.2850
MEM 34.371094 1751841445.3854
MEM 34.371094 1751841445.4857
MEM 34.371094 1751841445.5860
MEM 34.371094 1751841445.6864
MEM 34.371094 1751841445.7867
MEM 34.371094 1751841445.8870
MEM 34.371094 1751841445.9874
MEM 34.371094 1751841446.0877
MEM 34.371094 1751841446.1880
MEM 34.371094 1751841446.2884
MEM 34.371094 1751841446.3888
MEM 34.371094 1751841446.4891
MEM 34.371094 1751841446.5895
MEM 34.371094 1751841446.6898
MEM 34.371094 1751841446.7902
MEM 34.371094 1751841446.8905
MEM 34.371094 1751841446.9908
MEM 34.371094 1751841447.0912
MEM 34.371094 1751841447.1915
MEM 34.371094 1751841447.2919
MEM 34.371094 1751841447.3922
MEM 34.371094 1751841447.4925
MEM 34.371094 1751841447.5929
MEM 34.371094 1751841447.6932
MEM 34.371094 1751841447.7936
MEM 34.371094 1751841447.8939
MEM 34.371094 1751841447.9942
MEM 34.371094 1751841448.0946
MEM 34.371094 1751841448.1949
MEM 34.371094 1751841448.2952
MEM 34.371094 1751841448.3956
MEM 34.371094 1751841448.4959
